Carrier,Origin_City,Origin_State,Origin,Dest_City,Dest_State,Destination,Miles,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon
SunTran (Tucson),Tucson,AZ,"Tucson, AZ",Ajo,AZ,"Ajo, AZ",132,32.2217429,-110.926479,32.3717249,-112.8607099
Vermont Translines,Colchester,VT,"Colchester, VT",Albany,NY,"Albany, NY",169,44.5439375,-73.1479068,42.6525793,-73.7562317
Placer County,Auburn,CA,"Auburn, CA",Alta,CA,"Alta, CA",24,38.8965654,-121.0768901,39.2065652,-120.8113268
Merrimack Valley RTA,Salisbury,MA,"Salisbury, MA",Amesbury,MA,"Amesbury, MA",10,42.8417577,-70.8606083,42.8584235,-70.9300548
Pioneer Valley RTA,Sunderland,MA,"Sunderland, MA",Amherst,MA,"Amherst, MA",11,42.244538,-71.7717372,42.3803676,-72.523143
Pioneer Valley RTA,Sunderland,MA,"Sunderland, MA",Amherst,MA,"Amherst, MA",11,42.4667546,-72.5786996,42.3803676,-72.523143
Pioneer Valley RTA,Hadley,MA,"Hadley, MA",Amherst,MA,"Amherst, MA",11,42.3417565,-72.5884222,42.3803676,-72.523143
Lowell RTA,Lowell,MA,"Lowell, MA",Andover,MA,"Andover, MA",10,42.6334247,-71.3161718,42.6584254,-71.1370012
Redwood Coast,Smith River,CA,"Smith River, CA",Arcata,CA,"Arcata, CA",90,41.9281678,-124.1470274,40.8665166,-124.0828396
Roaring Fork Transportation Authority,Glenwood Springs,CO,"Glenwood Springs, CO",Aspen,CO,"Aspen, CO",41,39.5505376,-107.3247762,39.1910983,-106.8175387
Montachusett RTA,Gardner,MA,"Gardner, MA",Athol,MA,"Athol, MA",19,42.5750883,-71.998133,42.5959203,-72.2267497
Red Apple Transit,Farmington,NM,"Farmington, NM",Aztec,NM,"Aztec, NM",15,36.7280583,-108.2186856,36.8222261,-107.9928455
Arvin Transit,Arvin,CA,"Arvin, CA",Bakersfield,CA,"Bakersfield, CA",21,35.209129,-118.828431,35.3732921,-119.0187125
Quail Trail,Chiloquin,OR,"Chiloquin, OR",Beatty,OR,"Beatty, OR",29,42.5776364,-121.8661258,42.441815,-121.2708314
Mason Transit,Shelton,WA,"Shelton, WA",Belfair,WA,"Belfair, WA",23,47.2150945,-123.1007066,47.4506495,-122.8273657
Cascade East Transit,Redmond,OR,"Redmond, OR",Bend,OR,"Bend, OR",20,44.2726203,-121.1739212,44.0581728,-121.3153096
Cascade East Transit,Sisters,OR,"Sisters, OR",Bend,OR,"Bend, OR",22,44.2909491,-121.5492118,44.0581728,-121.3153096
Eastern Sierra Transit,Bishop,CA,"Bishop, CA",Benton,CA,"Benton, CA",35,37.3635404,-118.3951101,37.819099,-118.4765094
Birmingham Jefferson Transit Authority,Birmingham,AL,"Birmingham, AL",Bessemer,AL,"Bessemer, AL",16,33.5206608,-86.80249,33.4017766,-86.954437
Asheville Transit Service,Asheville,NC,"Asheville, NC",Black Mountain,NC,"Black Mountain, NC",16,35.6009452,-82.554015,35.6178951,-82.3212302
Red Apple Transit,Farmington,NM,"Farmington, NM",Bloomfield,NM,"Bloomfield, NM",14,36.7280583,-108.2186856,36.7111165,-107.9845116
ValleyRide (ID),Caldwell,ID,"Caldwell, ID",Boise,ID,"Boise, ID",38,43.6629384,-116.6873596,43.6135002,-116.2034505
Marin Transit,Sausalito,CA,"Sausalito, CA",Bolinas,CA,"Bolinas, CA",21,37.8591667,-122.4852778,37.9093702,-122.6863733
Montachusett RTA,Gardner,MA,"Gardner, MA",Boston,MA,"Boston, MA",62,42.5750883,-71.998133,42.3584308,-71.0597732
Transfort,Fort Collins,CO,"Fort Collins, CO",Boulder,CO,"Boulder, CO",45,40.5852602,-105.084423,40.0149856,-105.2705456
Mason Transit,Belfair,WA,"Belfair, WA",Bremerton,WA,"Bremerton, WA",13,47.4506495,-122.8273657,47.5673176,-122.6326391
Brockton Area Transit Authority,Boston,MA,"Boston, MA",Brockton,MA,"Brockton, MA",17,42.3584308,-71.0597732,42.0834335,-71.0183787
Brockton Area Transit Authority,Canton,MA,"Canton, MA",Brockton,MA,"Brockton, MA",10,42.1584324,-71.1447732,42.0834335,-71.0183787
Southwest POINT,Klamath Falls,OR,"Klamath Falls, OR",Brookings,OR,"Brookings, OR",202,42.224867,-121.7816704,42.0526114,-124.2839819
Greater Portland Metro (ME),Portland,ME,"Portland, ME",Brunswick,ME,"Brunswick, ME",29,43.661471,-70.2553259,43.9145244,-69.9653278
Lowell RTA,Lowell,MA,"Lowell, MA",Burlington,MA,"Burlington, MA",14,42.6334247,-71.3161718,42.5048167,-71.1956111
Capital Area Transit System,Harrisburg,PA,"Harrisburg, PA",Carlisle,PA,"Carlisle, PA",22,40.2737002,-76.8844179,40.2014771,-77.1888704
Capital Area Transit System,Harrisburg,PA,"Harrisburg, PA",Carlisle,PA,"Carlisle, PA",22,40.0556669,-75.025171,40.2014771,-77.1888704
RTC Washoe (NV),Reno,NV,"Reno, NV",Carson City,NV,"Carson City, NV",32,39.5296329,-119.8138027,39.1637984,-119.7674034
